391453 	 264 	 76 	 272
391454 	 268 	 76 	 272
391455 	 266 	 80 	 278
391456 	 74 	 264 	 248
391457 	 266 	 72 	 274
391458 	 268 	 74 	 272
391459 	 268 	 76 	 80
391460 	 280 	 76 	 82
391461 	 268 	 76 	 274
391462 	 270 	 80 	 274
391463 	 76 	 264 	 250
391464 	 270 	 76 	 82
391465 	 270 	 78 	 274
391466 	 264 	 78 	 78
391467 	 76 	 162 	 250
391468 	 262 	 72 	 272
391469 	 264 	 78 	 272
391470 	 264 	 80 	 80
391471 	 272 	 78 	 80
391472 	 266 	 76 	 270
391473 	 268 	 76 	 1160
391474 	 74 	 268 	 248
391475 	 268 	 76 	 82
391476 	 264 	 72 	 272
391477 	 264 	 78 	 80
391478 	 244 	 76 	 84
391479 	 270 	 78 	 268
391480 	 264 	 74 	 272
391481 	 74 	 76 	 254
391482 	 74 	 78 	 80
391483 	 266 	 78 	 272
391484 	 938 	 78 	 84
391485 	 78 	 264 	 250
391486 	 268 	 76 	 274
391487 	 266 	 78 	 272
391488 	 270 	 80 	 80
391489 	 244 	 76 	 82
391490 	 264 	 80 	 272
391491 	 272 	 80 	 274
391492 	 78 	 78 	 272
391493 	 264 	 74 	 80
391494 	 266 	 80 	 272
391495 	 250 	 82 	 80
391496 	 266 	 254 	 82
391497 	 266 	 76 	 270
391498 	 268 	 80 	 272
391499 	 264 	 76 	 272
391500 	 78 	 78 	 272
391501 	 266 	 80 	 274
391502 	 268 	 78 	 272
391503 	 268 	 80 	 274
391504 	 268 	 78 	 80
391505 	 266 	 76 	 1148
391506 	 268 	 80 	 274
391507 	 76 	 78 	 270
391508 	 264 	 74 	 274
391509 	 268 	 74 	 80
391510 	 244 	 78 	 78
391511 	 82 	 76 	 274
391512 	 270 	 76 	 284
391513 	 264 	 80 	 272
391514 	 266 	 78 	 80
391515 	 266 	 76 	 80
391516 	 878 	 76 	 270
391517 	 268 	 76 	 272
391518 	 78 	 264 	 248
391519 	 242 	 78 	 80
391520 	 268 	 76 	 270
391521 	 268 	 76 	 78
391522 	 268 	 76 	 80
391523 	 260 	 74 	 272
391524 	 262 	 76 	 274
391525 	 76 	 264 	 252
391526 	 266 	 74 	 268
391527 	 268 	 76 	 274
391528 	 270 	 76 	 80
391529 	 268 	 78 	 84
391530 	 264 	 78 	 274
391531 	 268 	 78 	 274
391532 	 74 	 268 	 250
391533 	 270 	 78 	 78
391534 	 264 	 80 	 274
391535 	 268 	 76 	 82
391536 	 242 	 76 	 80
391537 	 266 	 78 	 1150
391538 	 268 	 76 	 274
391539 	 82 	 78 	 272
391540 	 76 	 78 	 270
391541 	 264 	 74 	 82
391542 	 268 	 76 	 272
391543 	 268 	 78 	 276
391544 	 266 	 80 	 82
391545 	 268 	 76 	 274
391546 	 264 	 76 	 270
391547 	 74 	 74 	 272
391548 	 780 	 76 	 272
391549 	 268 	 76 	 276
391550 	 272 	 76 	 84
391551 	 266 	 74 	 80
391552 	 264 	 80 	 274
391553 	 268 	 76 	 270
391554 	 80 	 268 	 252
391555 	 262 	 74 	 274
391556 	 244 	 76 	 82
391557 	 148 	 78 	 268
391558 	 76 	 76 	 274
391559 	 264 	 82 	 270
391560 	 262 	 76 	 272
391561 	 76 	 74 	 250
391562 	 76 	 76 	 268
391563 	 266 	 76 	 276
391564 	 264 	 76 	 276
391565 	 76 	 266 	 252
391566 	 268 	 76 	 272
391567 	 264 	 74 	 274
391568 	 240 	 78 	 80
391569 	 74 	 1240 	 252
391570 	 246 	 78 	 80
391571 	 268 	 78 	 270
391572 	 268 	 74 	 84
391573 	 78 	 264 	 248
391574 	 270 	 80 	 272
391575 	 264 	 74 	 274
391576 	 266 	 76 	 82
391577 	 244 	 76 	 78
391578 	 268 	 76 	 272
391579 	 266 	 80 	 270
391580 	 74 	 496 	 252
391581 	 268 	 76 	 276
391582 	 268 	 76 	 274
391583 	 228 	 78 	 82
391584 	 74 	 136 	 252
391585 	 270 	 76 	 78
391586 	 268 	 78 	 272
391587 	 266 	 78 	 82
391588 	 246 	 78 	 80
391589 	 266 	 78 	 272
391590 	 268 	 76 	 272
391591 	 76 	 258 	 254
391592 	 80 	 78 	 272
391593 	 242 	 76 	 84
391594 	 268 	 76 	 272
391595 	 80 	 76 	 250
391596 	 76 	 76 	 268
391597 	 270 	 76 	 276
391598 	 268 	 76 	 82
391599 	 264 	 238 	 78
391600 	 262 	 76 	 272
391601 	 1410 	 76 	 268
391602 	 110 	 248 	 248
391603 	 76 	 74 	 272
391604 	 266 	 74 	 274
391605 	 262 	 78 	 276
391606 	 76 	 76 	 276
391607 	 266 	 80 	 272
391608 	 268 	 78 	 272
391609 	 262 	 82 	 254
391610 	 76 	 76 	 276
391611 	 262 	 76 	 272
391612 	 498 	 80 	 272
391613 	 76 	 264 	 248
391614 	 268 	 78 	 82
391615 	 266 	 76 	 274
391616 	 246 	 78 	 78
391617 	 268 	 78 	 80
391618 	 264 	 78 	 272
391619 	 266 	 78 	 270
391620 	 78 	 78 	 274
391621 	 76 	 76 	 274
391622 	 266 	 80 	 1492
391623 	 268 	 80 	 276
391624 	 244 	 78 	 84
391625 	 266 	 76 	 80
391626 	 264 	 76 	 272
391627 	 264 	 74 	 270
391628 	 272 	 78 	 270
