288123 	 MISS 	 MISS 	 MISS
288124 	 MISS 	 MISS 	 MISS
288125 	 MISS 	 MISS 	 MISS
288126 	 MISS 	 MISS 	 MISS
288127 	 MISS 	 MISS 	 MISS
288128 	 MISS 	 MISS 	 MISS
288129 	 MISS 	 MISS 	 MISS
288130 	 MISS 	 MISS 	 MISS
288131 	 MISS 	 MISS 	 MISS
288132 	 MISS 	 MISS 	 MISS
288133 	 MISS 	 MISS 	 MISS
288134 	 MISS 	 MISS 	 MISS
288135 	 MISS 	 MISS 	 MISS
288136 	 MISS 	 MISS 	 MISS
288137 	 MISS 	 MISS 	 MISS
288138 	 MISS 	 MISS 	 MISS
288139 	 MISS 	 MISS 	 MISS
288140 	 MISS 	 MISS 	 MISS
288141 	 MISS 	 MISS 	 MISS
288142 	 MISS 	 MISS 	 MISS
288143 	 MISS 	 MISS 	 MISS
288144 	 MISS 	 MISS 	 MISS
288145 	 MISS 	 MISS 	 MISS
288146 	 MISS 	 MISS 	 MISS
288147 	 MISS 	 MISS 	 MISS
288148 	 MISS 	 MISS 	 MISS
288149 	 MISS 	 MISS 	 MISS
288150 	 MISS 	 MISS 	 MISS
288151 	 MISS 	 MISS 	 MISS
288152 	 MISS 	 MISS 	 MISS
288153 	 MISS 	 MISS 	 MISS
288154 	 MISS 	 MISS 	 MISS
288155 	 MISS 	 MISS 	 MISS
288156 	 MISS 	 MISS 	 MISS
288157 	 MISS 	 MISS 	 MISS
288158 	 MISS 	 MISS 	 MISS
288159 	 MISS 	 MISS 	 MISS
288160 	 MISS 	 MISS 	 MISS
288161 	 MISS 	 MISS 	 MISS
288162 	 MISS 	 MISS 	 MISS
288163 	 MISS 	 MISS 	 MISS
288164 	 MISS 	 MISS 	 MISS
288165 	 MISS 	 MISS 	 MISS
288166 	 MISS 	 MISS 	 MISS
288167 	 MISS 	 MISS 	 MISS
288168 	 MISS 	 MISS 	 MISS
288169 	 MISS 	 MISS 	 MISS
288170 	 MISS 	 MISS 	 MISS
288171 	 HIT 	 HIT 	 MISS
288172 	 MISS 	 HIT 	 MISS
288173 	 MISS 	 HIT 	 MISS
288174 	 MISS 	 HIT 	 MISS
288175 	 MISS 	 MISS 	 MISS
288176 	 MISS 	 MISS 	 MISS
288177 	 MISS 	 MISS 	 MISS
288178 	 MISS 	 MISS 	 MISS
288179 	 MISS 	 MISS 	 MISS
288180 	 MISS 	 MISS 	 MISS
288181 	 MISS 	 MISS 	 MISS
288182 	 MISS 	 MISS 	 MISS
288183 	 MISS 	 MISS 	 MISS
288184 	 MISS 	 MISS 	 MISS
288185 	 MISS 	 MISS 	 MISS
288186 	 MISS 	 MISS 	 MISS
288187 	 MISS 	 MISS 	 MISS
288188 	 MISS 	 MISS 	 MISS
288189 	 MISS 	 MISS 	 MISS
288190 	 MISS 	 MISS 	 MISS
288191 	 MISS 	 MISS 	 MISS
288192 	 MISS 	 MISS 	 MISS
288193 	 MISS 	 MISS 	 MISS
288194 	 MISS 	 MISS 	 MISS
288195 	 MISS 	 MISS 	 MISS
288196 	 MISS 	 MISS 	 MISS
288197 	 MISS 	 MISS 	 MISS
288198 	 MISS 	 MISS 	 MISS
288199 	 MISS 	 MISS 	 MISS
288200 	 MISS 	 MISS 	 MISS
288201 	 MISS 	 MISS 	 MISS
288202 	 MISS 	 MISS 	 MISS
288203 	 MISS 	 MISS 	 MISS
288204 	 MISS 	 MISS 	 MISS
288205 	 MISS 	 MISS 	 MISS
288206 	 MISS 	 MISS 	 MISS
288207 	 MISS 	 MISS 	 MISS
288208 	 MISS 	 MISS 	 MISS
288209 	 MISS 	 MISS 	 MISS
288210 	 MISS 	 MISS 	 MISS
288211 	 MISS 	 MISS 	 MISS
288212 	 MISS 	 MISS 	 MISS
288213 	 MISS 	 MISS 	 MISS
288214 	 MISS 	 MISS 	 MISS
288215 	 MISS 	 MISS 	 MISS
288216 	 MISS 	 MISS 	 MISS
288217 	 MISS 	 MISS 	 MISS
288218 	 MISS 	 MISS 	 MISS
288219 	 MISS 	 MISS 	 MISS
288220 	 MISS 	 MISS 	 MISS
288221 	 MISS 	 MISS 	 MISS
288222 	 MISS 	 MISS 	 MISS
288223 	 MISS 	 MISS 	 MISS
288224 	 MISS 	 MISS 	 MISS
288225 	 MISS 	 MISS 	 MISS
288226 	 MISS 	 MISS 	 MISS
288227 	 MISS 	 MISS 	 MISS
288228 	 MISS 	 MISS 	 MISS
288229 	 MISS 	 MISS 	 MISS
288230 	 MISS 	 MISS 	 MISS
288231 	 MISS 	 MISS 	 MISS
288232 	 MISS 	 MISS 	 MISS
288233 	 MISS 	 MISS 	 MISS
288234 	 MISS 	 MISS 	 MISS
288235 	 MISS 	 MISS 	 MISS
288236 	 MISS 	 MISS 	 MISS
288237 	 MISS 	 MISS 	 MISS
288238 	 MISS 	 MISS 	 MISS
288239 	 MISS 	 MISS 	 MISS
288240 	 MISS 	 MISS 	 MISS
288241 	 MISS 	 MISS 	 MISS
288242 	 MISS 	 MISS 	 MISS
288243 	 MISS 	 MISS 	 MISS
288244 	 MISS 	 MISS 	 MISS
288245 	 MISS 	 MISS 	 MISS
288246 	 MISS 	 MISS 	 MISS
288247 	 MISS 	 MISS 	 MISS
288248 	 MISS 	 MISS 	 MISS
288249 	 HIT 	 MISS 	 MISS
288250 	 MISS 	 HIT 	 MISS
288251 	 MISS 	 HIT 	 MISS
288252 	 MISS 	 HIT 	 MISS
288253 	 MISS 	 MISS 	 MISS
288254 	 MISS 	 MISS 	 MISS
288255 	 MISS 	 MISS 	 MISS
288256 	 MISS 	 MISS 	 MISS
288257 	 MISS 	 MISS 	 MISS
288258 	 MISS 	 MISS 	 MISS
288259 	 MISS 	 MISS 	 MISS
288260 	 MISS 	 MISS 	 MISS
288261 	 MISS 	 MISS 	 MISS
288262 	 MISS 	 MISS 	 MISS
288263 	 MISS 	 MISS 	 MISS
288264 	 MISS 	 MISS 	 MISS
288265 	 MISS 	 MISS 	 MISS
