slot 	 sqr 	 mod 	 mul
288359 	 266 	 240 	 248
288360 	 262 	 240 	 248
288361 	 264 	 244 	 244
288362 	 1408 	 246 	 244
288363 	 264 	 246 	 248
288364 	 264 	 242 	 248
288365 	 264 	 238 	 246
288366 	 266 	 244 	 246
288367 	 266 	 242 	 248
288368 	 266 	 242 	 248
288369 	 266 	 240 	 246
288370 	 262 	 248 	 252
288371 	 264 	 242 	 248
288372 	 266 	 244 	 246
288373 	 568 	 244 	 244
288374 	 264 	 240 	 246
288375 	 262 	 244 	 246
288376 	 264 	 242 	 244
288377 	 262 	 244 	 246
288378 	 264 	 240 	 246
288379 	 264 	 238 	 246
288380 	 264 	 240 	 246
288381 	 262 	 240 	 244
288382 	 268 	 240 	 250
288383 	 260 	 240 	 1398
288384 	 268 	 244 	 244
288385 	 264 	 244 	 250
288386 	 264 	 242 	 246
288387 	 262 	 244 	 246
288388 	 266 	 242 	 246
288389 	 268 	 242 	 246
288390 	 266 	 240 	 244
288391 	 262 	 246 	 250
288392 	 262 	 248 	 250
288393 	 260 	 240 	 250
288394 	 1264 	 244 	 244
288395 	 258 	 242 	 246
288396 	 266 	 242 	 248
288397 	 260 	 240 	 248
288398 	 264 	 242 	 250
288399 	 264 	 242 	 250
288400 	 264 	 242 	 248
288401 	 264 	 242 	 246
288402 	 258 	 240 	 252
288403 	 260 	 244 	 248
288404 	 268 	 244 	 248
288405 	 456 	 242 	 246
288406 	 262 	 246 	 246
288407 	 264 	 244 	 248
288408 	 264 	 246 	 250
288409 	 72 	 76 	 270
288410 	 262 	 76 	 270
288411 	 264 	 76 	 268
288412 	 264 	 76 	 268
288413 	 264 	 80 	 80
288414 	 258 	 76 	 270
288415 	 266 	 78 	 1416
288416 	 238 	 242 	 248
288417 	 244 	 242 	 244
288418 	 260 	 244 	 246
288419 	 264 	 244 	 244
288420 	 264 	 240 	 250
288421 	 262 	 240 	 244
288422 	 264 	 240 	 244
288423 	 258 	 242 	 246
288424 	 264 	 242 	 246
288425 	 266 	 242 	 248
288426 	 1176 	 242 	 244
288427 	 260 	 240 	 248
288428 	 266 	 240 	 244
288429 	 262 	 238 	 248
288430 	 262 	 242 	 250
288431 	 262 	 242 	 248
288432 	 268 	 242 	 246
288433 	 260 	 244 	 248
288434 	 266 	 242 	 248
288435 	 262 	 240 	 246
288436 	 268 	 244 	 250
288437 	 290 	 242 	 246
288438 	 262 	 242 	 252
288439 	 264 	 244 	 248
288440 	 264 	 244 	 244
288441 	 268 	 242 	 248
288442 	 266 	 242 	 246
288443 	 266 	 242 	 246
288444 	 266 	 242 	 248
288445 	 264 	 246 	 248
288446 	 266 	 242 	 248
288447 	 262 	 242 	 1400
288448 	 262 	 240 	 244
288449 	 262 	 244 	 248
288450 	 266 	 244 	 248
288451 	 262 	 244 	 246
288452 	 262 	 244 	 248
288453 	 260 	 240 	 248
288454 	 260 	 238 	 244
288455 	 266 	 242 	 244
288456 	 258 	 242 	 248
288457 	 268 	 242 	 244
288458 	 1108 	 242 	 242
288459 	 268 	 240 	 244
288460 	 260 	 238 	 246
288461 	 266 	 240 	 244
288462 	 266 	 244 	 246
288463 	 264 	 242 	 248
288464 	 264 	 244 	 246
288465 	 266 	 242 	 250
288466 	 266 	 240 	 250
288467 	 268 	 240 	 248
288468 	 262 	 244 	 246
288469 	 262 	 240 	 248
288470 	 260 	 242 	 246
288471 	 262 	 238 	 248
288472 	 262 	 242 	 246
288473 	 264 	 240 	 246
288474 	 262 	 238 	 244
288475 	 266 	 242 	 246
288476 	 262 	 240 	 248
288477 	 266 	 246 	 246
288478 	 266 	 242 	 250
288479 	 264 	 1412 	 248
288480 	 266 	 246 	 246
288481 	 266 	 240 	 248
288482 	 262 	 242 	 250
288483 	 264 	 248 	 248
288484 	 260 	 242 	 250
288485 	 266 	 242 	 248
288486 	 264 	 244 	 246
288487 	 264 	 244 	 246
288488 	 266 	 250 	 244
288489 	 264 	 242 	 248
288490 	 70 	 1052 	 248
288491 	 74 	 78 	 270
288492 	 264 	 74 	 268
288493 	 262 	 76 	 274
288494 	 264 	 240 	 248
288495 	 266 	 242 	 246
288496 	 266 	 246 	 250
288497 	 264 	 242 	 246
288498 	 260 	 238 	 246
288499 	 262 	 240 	 248
288500 	 266 	 244 	 250
288501 	 262 	 240 	 250
288502 	 258 	 244 	 246
288503 	 266 	 242 	 246
288504 	 264 	 238 	 244
288505 	 266 	 244 	 246
288506 	 262 	 240 	 246
288507 	 264 	 240 	 248
